DomainIdentityInPage,DomainIdentityInCopyright,DomainIdentityInCanonical,DomainIdentityInAlternate,ForeignHyperlinks,VoidHyperlinkRatio,ForeignFormHandler,IPInURL,NumericFQDN,NumericPath,DomainEncoding,PathEncodedCharacters,RedirectionalChar,OutPositionedDomain,NoDotsFQDN,NoDotsPath,NonStandardPort,ObfuscationCharFQDN,ObfuscationCharPath,NoOfSlash,NoOfCharFQDN,NoOfCharPath,ShortURL,SubdomainService,DomainNameValidity,DomainAge,FHDomainValidity,FHDomainAge,SSLCertificateType,SSLGeoCountryMatch,URLSearchEngineRanking,DomainSearchEngineRanking,FQDNSearchEngineRanking,FQDNBlacklistIPCounts,DomainBlacklistIPCounts,Class
10,Null,Null,Null,Yes,0,Internal,No,1,0,No,0,No,No,2,0,Null,0,3,3,16,19,No,No,Yes,8832,Yes,8832,OV,No,Yes,Yes,Yes,0,0,Legitimate
13,No,Yes,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,4,20,15,No,No,Yes,4984,Yes,4984,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
1,No,Yes,Null,Yes,0.12,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,7,23,28,No,No,Yes,1909,Yes,1909,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
111,Yes,Yes,Yes,Yes,0.07,Internal,No,0,1,No,0,No,No,2,0,Null,0,3,4,16,16,No,No,Yes,8334,Yes,8334,OV,Yes,No,Yes,Yes,0,0,Legitimate
103,Yes,Yes,Yes,Yes,0.03,Internal,No,0,1,No,0,No,No,2,2,Null,0,3,4,16,34,No,No,Yes,8334,Yes,8334,OV,Yes,No,Yes,Yes,0,0,Legitimate
191,Yes,Null,Yes,Yes,0.1,Internal,No,0,11,No,0,No,No,2,0,Null,0,15,6,16,122,No,No,Yes,8334,Yes,8334,OV,Yes,No,No,No,0,0,Legitimate
96,No,Null,Null,Yes,0,Internal,No,0,1,No,0,No,No,2,0,Null,0,3,4,17,26,No,No,Yes,7749,Yes,7749,OV,Yes,No,Yes,Yes,0,0,Legitimate
108,Yes,Yes,Yes,Yes,0.07,Internal,No,0,1,No,0,No,No,2,2,Null,1,3,4,18,26,No,No,Yes,8334,Yes,8334,OV,Yes,No,Yes,Yes,0,0,Legitimate
60,No,Null,Null,Yes,0.25,Internal,No,0,0,No,0,No,No,3,0,Null,0,1,4,18,13,No,No,Unknown,-1,Unknown,-1,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
183,Null,Null,Null,Yes,0,Internal,No,0,10,No,0,No,Yes,2,4,Null,0,4,3,19,125,No,No,Yes,8164,Yes,8164,DV,Unknown,No,Yes,No,0,2,Legitimate
